Period	M2	R2	Teff2	log(g2)	logL2	UxMag	BxMag	BMag	VMag	RMag	IMag	JMag	HMag	KMag	LMag	L'Mag	M'Mag	X	SpT\
h	Msun	Rsun	K	[cm/s2]	[10-7W]	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	 	\
-------	------	----	------	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	------	----\
 1.418	 0.0100	 0.064	 481	 4.829	26.88	73.03	43.25	43.34	29.72	24.96	22.13	20.77	20.56	23.55	19.90	16.78	15.40	      	T\
 1.416	 0.0110	 0.066	 498	 4.845	26.96	71.01	42.86	42.95	29.47	24.74	21.90	20.47	20.23	23.06	19.64	16.56	15.20	      	T\
 1.414	 0.0120	 0.067	 515	 4.859	27.04	68.48	42.52	42.60	29.25	24.52	21.69	20.08	19.86	22.49	19.32	16.31	14.99	      	T\
 1.412	 0.0130	 0.069	 532	 4.872	27.12	65.71	42.17	42.26	29.02	24.31	21.48	19.65	19.47	21.87	18.98	16.04	14.76	      	T\
 1.410	 0.0140	 0.071	 550	 4.884	27.20	62.78	41.81	41.90	28.78	24.09	21.26	19.21	19.06	21.23	18.63	15.77	14.54	      	T\
 1.408	 0.0150	 0.072	 569	 4.896	27.28	59.70	41.44	41.53	28.54	23.87	21.04	18.74	18.63	20.56	18.27	15.49	14.30	      	T\
 1.407	 0.0160	 0.074	 589	 4.906	27.35	56.45	41.05	41.14	28.29	23.64	20.81	18.26	18.19	19.87	17.89	15.20	14.06	      	T\
 1.405	 0.0170	 0.075	 609	 4.916	27.43	54.33	40.76	40.85	28.11	23.48	20.64	17.94	17.89	19.38	17.61	14.98	13.88	      	T\
 1.404	 0.0180	 0.076	 630	 4.926	27.50	53.87	40.63	40.71	28.05	23.41	20.58	17.84	17.80	19.19	17.46	14.89	13.80	      	T\
 1.403	 0.0190	 0.078	 651	 4.935	27.57	53.45	40.51	40.60	27.99	23.35	20.52	17.74	17.72	19.01	17.32	14.80	13.72	      	T\
 1.402	 0.0200	 0.079	 673	 4.943	27.65	53.07	40.41	40.49	27.93	23.29	20.46	17.66	17.65	18.83	17.19	14.72	13.64	      	T\
 1.401	 0.0210	 0.080	 697	 4.951	27.72	52.73	40.32	40.41	27.88	23.24	20.41	17.58	17.58	18.66	17.05	14.64	13.57	      	T\
 1.400	 0.0220	 0.081	 720	 4.959	27.79	51.41	39.69	39.78	27.79	23.15	20.32	17.39	17.39	18.35	16.82	14.47	13.44	      	T\
 1.399	 0.0230	 0.083	 745	 4.966	27.86	49.88	38.95	39.04	27.70	23.06	20.22	17.18	17.18	18.00	16.56	14.29	13.30	      	T\
 1.398	 0.0240	 0.084	 770	 4.973	27.93	48.29	38.19	38.28	27.61	22.97	20.12	16.95	16.95	17.65	16.30	14.10	13.15	      	T\
 1.397	 0.0250	 0.085	 797	 4.980	28.00	46.64	37.42	37.51	27.52	22.88	20.02	16.73	16.72	17.28	16.03	13.91	13.01	      	T\
 1.396	 0.0260	 0.086	 824	 4.986	28.07	45.42	36.62	36.71	27.41	22.77	19.89	16.50	16.53	17.01	15.82	13.76	12.90	      	T\
 1.395	 0.0270	 0.087	 852	 4.993	28.14	44.22	35.79	35.88	27.30	22.65	19.76	16.27	16.33	16.75	15.63	13.61	12.79	      	T\
 1.394	 0.0280	 0.088	 881	 4.999	28.20	42.98	34.93	35.02	27.18	22.52	19.62	16.04	16.12	16.47	15.42	13.46	12.68	      	T\
 1.394	 0.0290	 0.089	 912	 5.005	28.27	41.74	34.07	34.16	27.04	22.39	19.48	15.82	15.92	16.19	15.21	13.30	12.58	      	T\
 1.393	 0.0300	 0.090	 943	 5.010	28.34	40.53	33.22	33.31	26.86	22.25	19.35	15.62	15.71	15.89	14.96	13.12	12.47	      	T\
 1.392	 0.0310	 0.091	 975	 5.016	28.41	39.27	32.35	32.44	26.68	22.11	19.22	15.42	15.49	15.57	14.72	12.95	12.36	      	T\
 1.392	 0.0320	 0.091	1008	 5.021	28.47	38.12	31.55	31.63	26.50	21.96	19.08	15.21	15.28	15.28	14.49	12.78	12.25	      	T\
 1.391	 0.0330	 0.092	1043	 5.026	28.54	37.38	31.01	31.10	26.33	21.81	18.90	15.01	15.09	15.07	14.31	12.65	12.18	      	T\
 1.390	 0.0340	 0.093	1079	 5.031	28.61	36.60	30.46	30.54	26.16	21.66	18.72	14.79	14.90	14.85	14.13	12.52	12.10	      	T\
 1.390	 0.0350	 0.094	1115	 5.036	28.67	35.88	29.93	30.01	25.97	21.51	18.55	14.60	14.71	14.63	13.94	12.37	12.03	      	T\
 1.389	 0.0360	 0.095	1154	 5.040	28.74	35.26	29.45	29.53	25.76	21.35	18.40	14.44	14.52	14.41	13.73	12.23	11.95	      	T\
 1.388	 0.0370	 0.096	1193	 5.045	28.81	34.62	28.95	29.03	25.55	21.19	18.24	14.27	14.32	14.19	13.51	12.07	11.87	      	T\
 1.388	 0.0380	 0.096	1234	 5.049	28.87	34.08	28.50	28.58	25.32	21.00	18.05	14.11	14.13	13.99	13.29	11.92	11.80	      	T\
 1.387	 0.0390	 0.097	1276	 5.053	28.94	33.54	28.06	28.13	25.07	20.80	17.85	13.94	13.93	13.79	13.07	11.77	11.73	      	T\
 1.387	 0.0400	 0.098	1320	 5.058	29.00	33.07	27.64	27.71	24.82	20.59	17.64	13.77	13.74	13.60	12.85	11.63	11.66	      	T\
 1.386	 0.0410	 0.099	1365	 5.062	29.07	32.66	27.26	27.33	24.57	20.37	17.42	13.61	13.56	13.43	12.65	11.49	11.59	      	T\
 1.386	 0.0420	 0.099	1409	 5.066	29.13	32.28	26.90	26.97	24.31	20.15	17.20	13.45	13.38	13.27	12.45	11.36	11.52	      	T\
 1.385	 0.0430	 0.100	1451	 5.070	29.19	31.91	26.56	26.63	24.04	19.90	16.96	13.29	13.21	13.11	12.28	11.24	11.46	      	T\
 1.385	 0.0440	 0.101	1495	 5.073	29.24	31.55	26.21	26.28	23.76	19.66	16.72	13.14	13.03	12.95	12.11	11.12	11.40	      	T\
 1.384	 0.0450	 0.102	1537	 5.077	29.30	31.24	25.93	25.99	23.49	19.42	16.51	13.00	12.88	12.81	11.96	11.02	11.34	      	T\
 1.384	 0.0460	 0.102	1578	 5.081	29.35	30.95	25.65	25.72	23.23	19.19	16.31	12.88	12.73	12.68	11.83	10.92	11.29	      	T\
 1.383	 0.0470	 0.103	1618	 5.084	29.40	30.66	25.40	25.46	22.97	18.98	16.13	12.76	12.60	12.54	11.69	10.83	11.23	      	T\
 1.383	 0.0480	 0.104	1658	 5.088	29.45	30.39	25.17	25.23	22.72	18.78	15.97	12.66	12.47	12.40	11.55	10.74	11.18	      	T\
 1.382	 0.0490	 0.104	1698	 5.091	29.49	30.12	24.93	25.00	22.47	18.58	15.81	12.55	12.35	12.25	11.41	10.65	11.12	      	T\
 1.382	 0.0500	 0.105	1738	 5.094	29.54	30.28	25.40	25.47	22.51	18.97	16.38	12.82	12.25	11.90	11.04	10.46	10.81	      	T\
 1.381	 0.0510	 0.106	1778	 5.098	29.59	30.46	25.89	25.97	22.56	19.38	16.99	13.10	12.16	11.54	10.66	10.26	10.48	      	T\
 1.381	 0.0520	 0.106	1818	 5.101	29.63	30.26	25.85	25.93	22.36	19.36	17.06	13.09	12.02	11.30	10.44	10.14	10.29	 -0.90	T\
 1.380	 0.0530	 0.107	1857	 5.104	29.67	29.60	25.17	25.24	21.86	18.82	16.47	12.73	11.82	11.21	10.40	10.09	10.26	  5.64	L4.4\
 1.380	 0.0540	 0.108	1896	 5.107	29.71	28.94	24.49	24.56	21.36	18.29	15.89	12.36	11.63	11.12	10.36	10.05	10.24	  9.65	L0.3\
 1.379	 0.0550	 0.108	1934	 5.110	29.75	28.80	24.39	24.46	21.28	18.19	15.77	12.28	11.56	11.07	10.32	10.01	10.21	 10.00	L0\
 1.379	 0.0560	 0.109	1971	 5.113	29.79	28.72	24.35	24.42	21.25	18.14	15.71	12.23	11.51	11.02	10.29	 9.98	10.19	 10.07	M9.9\
 1.378	 0.0570	 0.109	2007	 5.116	29.83	28.58	24.25	24.32	21.18	18.08	15.65	12.16	11.45	10.97	10.25	 9.94	10.17	 10.14	M9.9\
 1.378	 0.0580	 0.110	2042	 5.119	29.86	28.20	23.89	23.96	20.96	17.99	15.54	12.05	11.34	10.88	10.19	 9.88	10.13	 10.23	M9.8\
 1.378	 0.0590	 0.111	2076	 5.122	29.89	27.82	23.53	23.60	20.74	17.90	15.44	11.94	11.23	10.79	10.12	 9.82	10.10	 10.32	M9.7\
 1.377	 0.0600	 0.111	2110	 5.125	29.93	27.45	23.18	23.25	20.52	17.82	15.34	11.82	11.13	10.71	10.06	 9.76	10.07	 10.41	M9.6\
 1.377	 0.0610	 0.112	2143	 5.127	29.96	27.08	22.84	22.91	20.30	17.74	15.24	11.72	11.02	10.63	 9.99	 9.70	10.04	 10.49	M9.5\
 1.376	 0.0620	 0.112	2175	 5.130	29.99	26.73	22.51	22.58	20.10	17.65	15.14	11.61	10.92	10.55	 9.93	 9.65	10.01	 10.58	M9.4\
 1.376	 0.0630	 0.113	2205	 5.133	30.02	26.40	22.19	22.26	19.90	17.58	15.05	11.51	10.83	10.47	 9.87	 9.60	 9.98	 10.66	M9.3\
 1.375	 0.0640	 0.113	2235	 5.135	30.04	26.07	21.88	21.95	19.70	17.50	14.96	11.41	10.73	10.39	 9.81	 9.55	 9.96	 10.73	M9.3\
 1.375	 0.0650	 0.114	2265	 5.138	30.07	25.76	21.58	21.64	19.51	17.42	14.87	11.31	10.64	10.32	 9.76	 9.50	 9.93	 10.81	M9.2\
 1.375	 0.0660	 0.114	2294	 5.140	30.10	25.45	21.28	21.34	19.33	17.35	14.78	11.22	10.55	10.25	 9.70	 9.45	 9.90	 10.89	M9.1\
 1.374	 0.0670	 0.115	2322	 5.143	30.12	25.10	21.03	21.10	19.13	17.21	14.66	11.15	10.49	10.19	 9.66	 9.41	 9.86	 11.15	M8.9\
 1.374	 0.0680	 0.115	2349	 5.145	30.15	24.76	20.81	20.87	18.92	17.05	14.53	11.10	10.44	10.14	 9.62	 9.38	 9.82	 11.44	M8.6\
 1.373	 0.0690	 0.116	2376	 5.148	30.17	24.42	20.59	20.65	18.72	16.90	14.41	11.04	10.39	10.08	 9.58	 9.34	 9.77	 11.69	M8.3\
 1.373	 0.0691	 0.116	2377	 5.148	30.17	24.41	20.58	20.64	18.71	16.89	14.40	11.04	10.39	10.08	 9.58	 9.34	 9.77	 11.70	M8.3\
 1.382	 0.0700	 0.117	2402	 5.146	30.20	24.08	20.36	20.43	18.52	16.74	14.28	10.98	10.33	10.02	 9.54	 9.30	 9.72	 11.91	M8.1\
 1.390	 0.0710	 0.118	2427	 5.145	30.22	23.77	20.15	20.21	18.33	16.58	14.16	10.93	10.28	 9.97	 9.49	 9.26	 9.67	 12.10	M7.9\
 1.399	 0.0720	 0.119	2452	 5.144	30.25	23.46	19.95	20.01	18.14	16.43	14.04	10.87	10.23	 9.91	 9.45	 9.23	 9.62	 12.27	M7.7\
