M2	R2	Per	Sep	logJ	logjtot	logMLR2	zeta	logT2	log(g2)	logL2	Pdot	logt	BMag	VMag	RMag	IMag	JMag	HMag	KMag	SpT
Msun	Rsun	h	Rsun	[10-7J.s]	[10-7N.m]	[Msun/yr]	 	[K]	[cm2/s]	[10-7W]	s/s	[yr]	mag	mag	mag	mag	mag	mag	mag	
------	------	------	------	------	------	---------	------	------	------	------	---------	--------	-----	-----	-----	-----	-----	-----	-----	----
 0.040	 0.103	1.4987	 0.612	50.203	33.244	  -10.789	 0.063	 3.121	 5.012	29.048	 2.64e-14	 9.52767	27.54	24.68	20.46	17.51	13.66	13.62	13.47	T
 0.041	 0.103	1.4845	 0.608	50.213	33.275	  -10.759	 0.063	 3.135	 5.022	29.107	 2.63e-14	 9.51967	27.21	24.46	20.26	17.31	13.52	13.46	13.33	T
 0.042	 0.104	1.4713	 0.605	50.222	33.304	  -10.730	 0.073	 3.149	 5.031	29.164	 2.62e-14	 9.51207	26.84	24.20	20.03	17.08	13.35	13.28	13.16	T
 0.043	 0.104	1.4590	 0.602	50.230	33.333	  -10.703	 0.082	 3.162	 5.039	29.217	 2.57e-14	 9.50483	26.53	23.95	19.81	16.86	13.22	13.12	13.02	T
 0.044	 0.104	1.4476	 0.599	50.239	33.361	  -10.676	 0.094	 3.175	 5.047	29.270	 2.54e-14	 9.49793	26.20	23.68	19.58	16.64	13.07	12.96	12.88	T
 0.045	 0.104	1.4370	 0.596	50.248	33.387	  -10.650	 0.104	 3.187	 5.055	29.320	 2.51e-14	 9.49134	25.92	23.42	19.35	16.45	12.96	12.82	12.75	T
 0.046	 0.104	1.4272	 0.594	50.256	33.413	  -10.626	 0.113	 3.198	 5.062	29.368	 2.46e-14	 9.48503	25.67	23.18	19.14	16.27	12.85	12.70	12.64	T
 0.047	 0.105	1.4181	 0.592	50.264	33.438	  -10.602	 0.123	 3.209	 5.069	29.415	 2.41e-14	 9.47899	25.41	22.92	18.92	16.08	12.72	12.55	12.49	T
 0.048	 0.105	1.4097	 0.590	50.272	33.462	  -10.580	 0.132	 3.219	 5.076	29.459	 2.29e-14	 9.47319	25.21	22.70	18.75	15.94	12.63	12.45	12.37	T
 0.049	 0.105	1.4020	 0.588	50.280	33.485	  -10.558	 0.146	 3.230	 5.082	29.503	 2.18e-14	 9.46760	24.98	22.45	18.56	15.79	12.54	12.33	12.23	T
 0.050	 0.106	1.3951	 0.586	50.288	33.507	  -10.539	 0.158	 3.240	 5.088	29.546	 2.04e-14	 9.46222	25.44	22.48	18.94	16.35	12.79	12.23	11.88	T
 0.051	 0.106	1.3889	 0.585	50.296	33.529	  -10.520	 0.172	 3.250	 5.094	29.589	 1.87e-14	 9.45701	25.96	22.55	19.38	16.99	13.10	12.15	11.53	L6.6
 0.052	 0.106	1.3835	 0.583	50.304	33.549	  -10.502	 0.187	 3.260	 5.099	29.631	 1.70e-14	 9.45196	25.90	22.34	19.34	17.04	13.08	12.02	11.31	T
 0.053	 0.107	1.3788	 0.582	50.311	33.569	  -10.485	 0.202	 3.269	 5.104	29.671	 1.50e-14	 9.44706	25.23	21.85	18.81	16.46	12.72	11.82	11.21	L4.3
 0.054	 0.107	1.3748	 0.581	50.319	33.588	  -10.469	 0.218	 3.278	 5.109	29.711	 1.31e-14	 9.44230	24.56	21.37	18.29	15.89	12.37	11.63	11.13	L0.3
 0.055	 0.108	1.3714	 0.581	50.326	33.606	  -10.453	 0.232	 3.286	 5.113	29.749	 1.13e-14	 9.43766	24.47	21.29	18.19	15.78	12.28	11.56	11.08	L0.0
 0.056	 0.108	1.3686	 0.580	50.333	33.624	  -10.438	 0.246	 3.295	 5.117	29.786	 9.39e-15	 9.43314	24.44	21.27	18.15	15.73	12.24	11.52	11.04	M9.9
 0.057	 0.109	1.3663	 0.580	50.341	33.640	  -10.424	 0.260	 3.303	 5.121	29.821	 7.56e-15	 9.42872	24.31	21.17	18.08	15.65	12.16	11.45	10.97	M9.9
 0.058	 0.109	1.3646	 0.579	50.348	33.656	  -10.410	 0.273	 3.310	 5.124	29.855	 5.50e-15	 9.42441	23.98	20.97	18.01	15.56	12.07	11.36	10.90	M9.8
 0.059	 0.110	1.3633	 0.579	50.355	33.672	  -10.398	 0.287	 3.317	 5.127	29.888	 2.84e-15	 9.42018	23.62	20.75	17.92	15.45	11.95	11.24	10.81	M9.7
 0.060	 0.110	1.3627	 0.579	50.362	33.687	  -10.386	 0.304	 3.324	 5.130	29.921	 4.70e-16	 9.41603	23.28	20.54	17.84	15.36	11.85	11.15	10.73	M9.6
