M2	R2	Per	Sep	logJ	logjtot	logMLR2	zeta	logT2	log(g2)	logL2	Pdot	logt	BMag	VMag	RMag	IMag	JMag	HMag	KMag	SpT
Msun	Rsun	h	Rsun	[10-7J.s]	[10-7N.m]	[Msun/yr]	 	[K]	[cm2/s]	[10-7W]	s/s	[yr]	mag	mag	mag	mag	mag	mag	mag	
------	------	------	------	------	------	---------	------	------	------	------	---------	--------	-----	-----	-----	-----	-----	-----	-----	----
 0.040	 0.098	1.3939	 0.583	50.193	32.925	  -11.077	-0.015	 3.038	 5.054	28.678	 1.65e-14	 9.85600	30.29	26.00	21.51	18.56	14.62	14.73	14.68	T
 0.041	 0.098	1.3767	 0.579	50.202	32.959	  -11.043	-0.015	 3.053	 5.065	28.737	 1.68e-14	 9.84871	29.80	25.82	21.37	18.42	14.46	14.56	14.48	T
 0.042	 0.098	1.3604	 0.574	50.210	32.991	  -11.011	-0.008	 3.068	 5.076	28.795	 1.70e-14	 9.84187	29.32	25.63	21.23	18.28	14.31	14.38	14.27	T
 0.043	 0.098	1.3452	 0.570	50.219	33.023	  -10.984	 0.001	 3.083	 5.086	28.855	 1.60e-14	 9.83541	28.84	25.42	21.07	18.13	14.16	14.20	14.07	T
 0.044	 0.098	1.3316	 0.567	50.227	33.053	  -10.957	 0.027	 3.100	 5.096	28.923	 1.56e-14	 9.82926	28.35	25.16	20.87	17.93	13.98	14.00	13.86	T
 0.045	 0.098	1.3192	 0.563	50.235	33.081	  -10.930	 0.044	 3.116	 5.104	28.988	 1.52e-14	 9.82339	27.87	24.91	20.67	17.73	13.81	13.80	13.66	T
 0.046	 0.099	1.3079	 0.560	50.243	33.109	  -10.904	 0.058	 3.131	 5.113	29.048	 1.49e-14	 9.81781	27.49	24.65	20.45	17.50	13.64	13.61	13.48	T
 0.047	 0.099	1.2974	 0.558	50.251	33.136	  -10.879	 0.071	 3.144	 5.121	29.104	 1.48e-14	 9.81248	27.16	24.44	20.27	17.32	13.51	13.46	13.34	T
 0.048	 0.099	1.2876	 0.555	50.259	33.161	  -10.853	 0.082	 3.157	 5.129	29.155	 1.48e-14	 9.80739	26.82	24.19	20.04	17.09	13.36	13.29	13.20	T
 0.049	 0.099	1.2783	 0.553	50.267	33.186	  -10.828	 0.088	 3.168	 5.136	29.202	 1.49e-14	 9.80254	26.52	23.96	19.84	16.89	13.23	13.15	13.07	T
 0.050	 0.099	1.2695	 0.550	50.274	33.210	  -10.806	 0.094	 3.178	 5.143	29.246	 1.45e-14	 9.79791	26.26	23.75	19.65	16.71	13.11	13.02	12.96	T
 0.051	 0.099	1.2614	 0.548	50.282	33.234	  -10.783	 0.106	 3.189	 5.150	29.290	 1.41e-14	 9.79347	26.02	23.53	19.46	16.55	13.02	12.90	12.85	T
 0.052	 0.100	1.2539	 0.546	50.289	33.256	  -10.763	 0.116	 3.199	 5.156	29.333	 1.35e-14	 9.78920	25.79	23.31	19.27	16.38	12.90	12.77	12.73	T
 0.053	 0.100	1.2471	 0.544	50.297	33.278	  -10.745	 0.130	 3.210	 5.162	29.377	 1.23e-14	 9.78509	25.56	23.08	19.08	16.23	12.81	12.66	12.61	T
 0.054	 0.100	1.2411	 0.543	50.304	33.299	  -10.727	 0.150	 3.220	 5.168	29.422	 1.12e-14	 9.78112	25.36	22.86	18.91	16.09	12.72	12.56	12.49	T
 0.055	 0.101	1.2358	 0.542	50.311	33.319	  -10.712	 0.168	 3.231	 5.173	29.466	 9.84e-15	 9.77726	25.14	22.61	18.73	15.96	12.63	12.42	12.32	T
 0.056	 0.101	1.2314	 0.541	50.318	33.338	  -10.697	 0.189	 3.241	 5.178	29.511	 8.39e-15	 9.77351	25.62	22.63	19.13	16.56	12.94	12.34	11.97	T
 0.057	 0.101	1.2277	 0.540	50.325	33.356	  -10.683	 0.210	 3.252	 5.183	29.556	 6.96e-15	 9.76986	26.16	22.66	19.57	17.24	13.29	12.25	11.57	L9.5
 0.058	 0.102	1.2248	 0.539	50.332	33.373	  -10.670	 0.230	 3.262	 5.187	29.599	 5.23e-15	 9.76629	25.83	22.31	19.32	17.02	13.12	12.06	11.37	L9.2
 0.059	 0.102	1.2227	 0.539	50.339	33.390	  -10.658	 0.254	 3.271	 5.190	29.641	 3.69e-15	 9.76279	25.20	21.85	18.83	16.47	12.77	11.88	11.30	L3.5
 0.060	 0.103	1.2212	 0.538	50.346	33.405	  -10.646	 0.275	 3.281	 5.194	29.682	 2.18e-15	 9.75937	24.61	21.42	18.36	15.95	12.43	11.69	11.20	L0.3
