# Porb (d) / Porb_err (d) / Psh (d) / Psh (d)
0.054579 0.000006 0.055306 0.000015  #DI UMa  (2007a,K13,B,Q=B) # Porb from Rutkowski 2009
0.054643 0.000007 0.055868 0.000021  #V844 Her (2006,K09,B,Q=A) # Porb from Thorstensen 2002
0.055053 0.000006 0.056583 0.000022  #LL And  (2004,K09,B,Q=C) # Porb from Patterson 2003
0.055351 0.000007 0.056766 0.000013  #SDSS J0137/GZ Cet (2003,K09,B,Q=A) # Porb from Pretorius 2004
0.056540 0.000003 0.057093 0.000012  #ASAS J0025/FL Psc (2004,K09,B,Q=A) # Porb from K09
0.056668589 0.000000009 0.057293 0.000010  #AL Com (2015,K16,B,Q=B) # Porb from K14b 
#0.056687845 0.000000020 0.057204 0.000005 #WZ Sge (2001,K09,B,Q=A) # Porb from Thorstensen 2003
0.05672 0.00004 0.057480 0.000034 #RX 1839/V1108 Her (2004,K09,B,Q=B) # Porb from Pavlenko 2011
0.056694 0.00006 0.057968 0.000018  #PU CMa (2016,K16,B,Q=B) # Porb from Thorstensen 2003
0.056815 0.000001 0.058258 0.000012  #SW UMa (2000,K09,B,Q=A) # Porb from Howell 1988
0.057069 0.000006 0.058266 0.000017  #HV Vir (2002,K09,B,Q=A) # Porb from Patterson 2003
0.057590 0.000002 0.058855 0.000017  #MM Hya (2011,K12,B,Q=B) # Porb from Patterson 2003
0.0582610 0.000002 0.059529 0.000014  #WX Cet (1998,K09,B,Q=A) # Porb from Sterken 2007
0.05876 0.00007 0.060295 0.000040  #KV Dra (2002,K09,B,Q=B) # Porb from Patterson 2003
0.058819 0.000005 0.060378 0.000022  #T Leo/QZ Vir (2009,K09,B,Q=A) # Porb from Shafter 1984
0.05997 0.00009 0.060337 0.000006  #EG Cnc (1996,K09,B,Q=A) # Porb from K09
0.060458 0.000080 0.062179 0.000034  #V1040 Cen (2002,K09,B,Q=A) # Porb from Rutkowski 2011
0.0603  0.0002  0.061364 0.000017  #RX Vol (2003,K09,B,Q=A) # Porb from P05
0.06094 0.00006 0.062359 0.000015  #AQ Eri (2008,K09,B,Q=A) # Porb from Thorstensen 1996
#0.061159491 0.000000001 0.062807 0.000018 #XZ Eri (2007,K09,B,Q=B)
0.06126454 0.00000009 0.06262 0.00016 #CP Pup (1993,-,B,Q=?) # Porb from Bianchini 2012, Psh from Patterson 1998
0.06217801 0.00000013 0.064201 0.000014  #V1159 Ori (1993,K09,B,Q=A) # Porb from Thorstensen 1997
#0.06242785751 0.0000000001 0.064708 0.000088 #V2051 Oph (2015,K15,B,Q=C)
0.062501 0.000020 0.063663 0.000014  #V436 Cen (1978,K09,B,Q=B) # Porb from Gilliland 1982
0.062605 0.000011 0.064571 0.000012  #BC UMa (2003,K09,B,Q=A) # Porb from Patterson 2003
0.06266 0.00016 0.064363 0.000017  #HO Del (2008,K09,B,Q=B) # Porb from Patterson 2003
0.06288 0.00005 0.064832 0.000006  #EK TrA (2009,K10,B,Q=C) # Porb from Mennickent 1998
0.06288 0.00013 0.065005 0.000017  #TV Crv (2001,K09,B,Q=B) # Porb from Woudt 2003
0.06309 0.00004 0.064657 0.000014  #VY Aqr (2008,K09,B,Q=A) # Porb from Thorstensen 1997
#0.0631209221 0.0000000001 0.064631 0.000026 #OY Car (1980,K09,B,Q=B)
0.06325 0.00010 0.065140 0.000018 #RX 1131/MR UMa (2003,K09,B,Q=C) # Porb from Thorstensen 2015
0.06366 0.00003 0.065747 0.000024  #ER UMa (1995,K09,B,Q=B) # Porb from Thorstensen 1997
0.06489 0.00011 0.066671 0.000010  #UV Per (2003,K09,B,Q=A) # Porb from Thorstensen 1997
0.0651  0.0002  0.067428 0.000032  #AK Cnc (2003,K09,B,Q=A) # Porb from Arenas 1998
0.065345 0.000015 0.067326 0.000046  #AO Oct (2013,K14b,B,Q=B) # Porb from Woudt 2004
0.065409 0.000020 0.067230 0.000054  #DM Lyr (2002,K09,B,Q=C) # Porb from Thorstensen 2003
0.06717 0.00011 0.069341 0.000004  #SX LMi (2002,K09,B,Q=C) # Porb from Wagner 1998
0.06778 0.00004 0.070270 0.000062  #SS UMi (2004,K09,B,Q=B) # Porb from Thorstensen 1996
0.06796 0.00010 0.070179 0.000009  #KS UMa (2003,K09,B,Q=A) # Porb from Patterson 2003
0.0681 0.0002  0.070537 0.000027  #V1208 Tau (2002,K09,B,Q=B) # Porb from Patterson 2005
0.068282 0.000018 0.070441 0.000023  #RZ Sge (2002,K09,B,Q=B) # Porb from Patterson 2003
0.06833 0.00005 0.070656 0.000022  #TY Psc (2008,K09,B,Q=A) # Porb from Thorstensen 1996
