# Porb (h) / M2 / M2_err / R2 / R2_err / epsilon / epsilon_err / mwd
1.3094 0.051 0.011 0.105 0.008 0.0133 0.0006  0.75 #DI UMa
1.3114 0.083 0.018 0.124 0.009 0.0242 0.0009  0.75 #V844 Her
1.3212 0.097 0.023 0.131 0.010 0.0290 0.0036  0.75 #LL And
1.3289 0.085 0.019 0.125 0.009 0.0248 0.0020  0.75 #SDSS 0137
1.3452 0.072 0.017 0.120 0.009 0.0206 0.0021  0.75 #ASAS 0025
1.3601 0.047 0.010 0.104 0.008 0.0120 0.0007  0.75 #AL Com
#1.3606 0.056 0.009 0.111 0.006 0.0092 0.0007 1.1 #WZ Sge
1.3606 0.063 0.015 0.115 0.009 0.0173 0.0020  0.75 #RX 1839
1.3606 0.077 0.018 0.123 0.009 0.0222 0.0020  0.75 #PU CMa
1.3634 0.084 0.020 0.127 0.010 0.0245 0.0027  0.75 #SW UMa
1.3697 0.071 0.015 0.120 0.009 0.0200 0.0009  0.75 #HV Vir
1.3822 0.066 0.014 0.118 0.009 0.0184 0.0010  0.75 #MM Hya
1.3990 0.070 0.016 0.122 0.009 0.0199 0.0015  0.75 #WX Cet
1.4102 0.080 0.018 0.128 0.010 0.0233 0.0022  0.75 #KV Dra
1.4117 0.081 0.018 0.129 0.009 0.0236 0.0014  0.75 #T Leo
1.4393 0.031 0.007 0.095 0.007 0.0067 0.0008  0.75 #EG Cnc
1.4467 0.103 0.023 0.142 0.011 0.0310 0.0027  0.75 #V1040 Cen
1.4472 0.064 0.015 0.121 0.009 0.0178 0.0020  0.75 #RX Vol
1.4626 0.096 0.021 0.139 0.010 0.0284 0.0021  0.75 #AQ Eri
#1.4678 0.094 0.005 0.139 0.003 0.0270 0.0016 0.77 #XZ Eri
1.4748 0.083 0.015 0.133 0.008 0.0171 0.0020  0.75 #CP Pup
1.4923 0.106 0.023 0.146 0.010 0.0320 0.0011  0.75 #V1159 Ori
#1.4983 0.095 0.022 0.141 0.011 0.0281 0.0025  0.75 #V2051 Oph
1.5000 0.074 0.018 0.130 0.011 0.0212 0.0032  0.75 #V436 Cen
1.5026 0.102 0.022 0.145 0.010 0.0306 0.0014  0.75 #BC UMa
1.5038 0.093 0.022 0.141 0.011 0.0276 0.0035  0.75 #HO Del
