# m2 / m2_err / r2 / r2_err / q / q_err / porb(d) 

# DONE (with GPs)

0.073  0.007  0.113  0.004   0.093  0.007    0.0529848884    #PHL 1445 (10 ecl)
#0.060  0.006  0.107  0.004   0.082  0.007    0.0529848884    #PHL 1445 (6 ecl)
0.109  0.012  0.141  0.005   0.161  0.013    0.060310649     #ASASSN-14ag
0.141  0.007  0.1770 0.0028  0.150  0.005    0.0739089282    #IY UMa
0.152  0.005  0.1820 0.0020  0.189  0.004    0.0744992631    #Z Cha
0.081  0.005  0.1275 0.0024  0.114  0.005    0.059578970     #CSS080623
0.138  0.007  0.182  0.003   0.184  0.006    0.0778805320    #SDSS 0901
0.183  0.008  0.213  0.003   0.170  0.005    0.0858526521    #DV UMa
0.167  0.004  0.2116 0.0020  0.233  0.004    0.088940717     #CTCV 1300
0.093  0.002  0.1395 0.0010  0.1055 0.0019   0.0631209221    #OY Car
0.142  0.010  0.163  0.004   0.158  0.008    0.065769292     #SSS130413
0.106  0.007  0.149  0.004   0.105  0.005    0.0660508707    #CSS110113
0.084  0.005  0.1278 0.0026  0.095  0.003    0.0587045       #SSS100615
0.097  0.013  0.147  0.007   0.155  0.013    0.0677497026    #SDSS 1152
0.0440 0.0021 0.1088 0.0017  0.0548 0.0020   0.0627919557    #SDSS 1057
0.37   0.06   0.455  0.024   0.46   0.03     0.185912957     #SDSS 1006
0.391  0.019  0.444  0.007   0.445  0.018    0.1754424023    #GY Cnc
0.171  0.012  0.207  0.003   0.242  0.010    0.0854185080    #V713 Cep
0.061  0.003  0.1134 0.0020  0.084  0.004    0.0568412623    #SDSS 1501


# IN LITERATURE

# HIGH TIME RESOLUTION ECLIPSE MODELLING

0.0571 0.0007 0.1074 0.0004  0.0661 0.0007   0.054240679     #SDSS 1433
#0.0575 0.0020 0.0969 0.0011  0.0647 0.0018   0.04625828      #SDSS 1507 - Not used
0.0475 0.0012 0.1047 0.0008  0.0571 0.0010   0.0570067       #SDSS 1035
0.101  0.003  0.1463 0.0016  0.1097 0.0008   0.065550270     #CTCV 2354
0.099  0.004  0.1358 0.0020  0.113  0.004    0.059073543     #SDSS 0903
0.0889 0.0025 0.1365 0.0013  0.1115 0.0016   0.062959041     #SDSS 1227
0.091  0.004  0.1350 0.0018  0.118  0.003    0.061159491     #XZ Eri
0.0781 0.0008 0.1241 0.0003  0.1099 0.0007   0.05890961      #SDSS 1502
0.1157 0.0022 0.1634 0.0010  0.1641 0.0013   0.072706113     #OU Vir
0.223  0.010  0.252  0.004   0.248  0.005    0.10008215      #SDSS 1702
0.53   0.01   0.565  0.004   0.75   0.05     0.209937        #EX Dra_S03
0.39   0.04   0.432  0.015   0.570  0.011    0.1653077       #KIS J1927_L14
0.55   0.02   0.466  0.006   0.48   0.01     0.1582061029    #IP Peg_C10
0.28   0.03   0.314  0.011   0.236  0.006    0.120971374     #CSS111003_M16
0.47   0.05   0.427  0.015   0.54   0.03     0.14920775      #HS 0220+0603_RG15
0.58   0.06   0.690  0.024   0.80   0.02     0.26937431      #1RXS J0644_H17
0.28   0.05   0.338  0.020   0.47   0.09     0.1369745       #SDSS0756_T14

# CONTACT PHASE TIMING

0.09   0.02   0.152  0.011   0.15   0.03     0.0736471745    #HT Cas_H91
0.15   0.03   0.161  0.011   0.19   0.03     0.06242785751   #V2051 Oph_B98
0.092  0.016  0.136  0.008   0.125  0.015    0.0614296779    #V4140 Sgr_BB05
0.21   0.03   0.304  0.014   0.28   0.04     0.136606499     #DW UMa_AB03
0.20   0.07   0.34   0.04    0.30   0.07     0.1638049430    #UU Aqr_B04

# RADIAL VELOCITY

0.10   0.02   0.150  0.010   0.13   0.02     0.068233843     #EX Hya_E16
0.42   0.04   0.456  0.014   0.35   0.05     0.17690617      #U Gem_E07
0.40   0.05   0.485  0.020   0.66   0.04     0.193620897     #DQ Her_H93
0.52   0.06   0.603  0.023   0.83   0.05     0.231936060     #V347 Pup_T05
0.29   0.04   0.341  0.016   0.24   0.05     0.13820103      #V603 Aql_A00
0.20   0.04   0.246  0.017   0.31   0.06     0.101838931     #V348 Pup_RG01
0.049  0.015  0.105  0.011   0.057  0.018    0.0566878460    #WZ Sge_S01/07
0.77   0.08   0.797  0.028   0.77   0.04     0.290909        #EM Cyg_W07
0.77   0.05   0.827  0.018   1.02   0.04     0.30047747      #AC Cnc_T04
